Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0557-CHN;2000-9626-CHN;211993.0;0.44;1.0;1.0;2000-09-01 00:00:00+00:00;2000-09-01 00:00:00+00:00;0.0
2001-0357-THA;2001-0479-THA;780.0;0.14;0.57;0.57;2001-06-27 00:00:00+00:00;2001-06-27 00:00:00+00:00;0.0
2001-0377-ARG;2001-0401-ARG;349904.0;0.32;1.0;1.0;2001-07-01 00:00:00+00:00;2001-07-01 00:00:00+00:00;0.0
2003-0020-MOZ;2003-9035-MOZ;65688.0;0.34;1.0;1.0;2003-01-01 00:00:00+00:00;2003-01-01 00:00:00+00:00;0.0
2004-0152-KEN;2004-0194-KEN;304.0;0.3;0.33;0.33;2004-04-09 00:00:00+00:00;2004-04-09 00:00:00+00:00;0.0
2004-0402-NGA;2004-0413-NGA;16902.0;1.0;1.0;1.0;2004-08-08 00:00:00+00:00;2004-08-08 00:00:00+00:00;0.0
2005-0101-AFG;2005-0169-AFG;195280.0;1.0;1.0;1.0;2005-03-05 00:00:00+00:00;2005-03-05 00:00:00+00:00;0.0
2006-0262-IND;2006-0265-IND;110129.0;1.0;0.99;1.0;2006-05-31 00:00:00+00:00;2006-05-31 00:00:00+00:00;0.0
2006-0339-CHN;2006-0340-CHN;221345.0;1.0;1.0;1.0;2006-06-25 00:00:00+00:00;2006-06-25 00:00:00+00:00;0.0
2006-0416-AFG;2006-0424-AFG;19026.0;0.62;0.92;0.92;2006-07-30 00:00:00+00:00;2006-07-30 00:00:00+00:00;0.0
2007-0380-CHN;2007-0387-CHN;983521.0;1.0;1.0;1.0;2007-08-18 00:00:00+00:00;2007-08-18 00:00:00+00:00;0.0
2009-0227-CHN;2009-0292-CHN;221517.0;1.0;0.07;1.0;2009-07-01 00:00:00+00:00;2009-07-01 00:00:00+00:00;0.0
2009-0409-IND;2009-9323-IND;278995.0;0.29;0.17;0.29;2009-07-01 00:00:00+00:00;2009-07-01 00:00:00+00:00;0.0
2011-0202-CHN;2011-0227-CHN;705989.0;1.0;0.34;1.0;2011-06-01 00:00:00+00:00;2011-06-01 00:00:00+00:00;0.0
2012-0260-CHN;2012-0282-CHN;540779.0;1.0;1.0;1.0;2012-08-08 00:00:00+00:00;2012-08-08 00:00:00+00:00;0.0
2012-9235-USA;2012-9489-USA;3591048.0;1.0;0.47;1.0;2012-06-01 00:00:00+00:00;2012-06-01 00:00:00+00:00;0.0
2015-0046-USA;2015-0073-USA;166837.0;0.32;0.06;0.32;2015-02-16 00:00:00+00:00;2015-02-16 00:00:00+00:00;0.0
2015-0054-AFG;2015-0059-AFG;68702.0;0.64;1.0;1.0;2015-02-15 00:00:00+00:00;2015-02-15 00:00:00+00:00;0.0
2015-0090-AGO;2015-0091-AGO;2013.0;0.8;0.35;0.8;2015-03-09 00:00:00+00:00;2015-03-09 00:00:00+00:00;0.0
2015-0185-CHN;2015-0219-CHN;1353988.0;1.0;0.58;1.0;2015-05-13 00:00:00+00:00;2015-05-13 00:00:00+00:00;0.0
2016-0105-SAU;2016-0120-SAU;247590.0;0.28;0.95;0.95;2016-04-08 00:00:00+00:00;2016-04-08 00:00:00+00:00;0.0
2017-0256-NPL;2017-0321-NPL;15492.0;1.0;0.95;1.0;2017-06-30 00:00:00+00:00;2017-06-30 00:00:00+00:00;0.0
2017-0257-IND;2017-0294-IND;36119.0;0.16;0.3;0.3;2017-06-01 00:00:00+00:00;2017-06-01 00:00:00+00:00;0.0
2018-0159-CHN;2018-0211-CHN;284105.0;1.0;0.44;1.0;2018-05-07 00:00:00+00:00;2018-05-07 00:00:00+00:00;0.0
2018-0218-DOM;2018-0280-DOM;2807.0;0.97;1.0;1.0;2018-07-09 00:00:00+00:00;2018-07-09 00:00:00+00:00;0.0
